"IDProduto não encontrado","A","Cook Premium",0,"6013268-25/2","Cook Premium Kit 4 Cobre/Preto",1,11,"Cook Premium Kit 4 Cobre/Preto","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013268_25_2a.jpg,6013268_25_2b.jpg","6013268_25_2a.jpg,6013268_25_2b.jpg","","","","","","","",66758,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,34,26,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013268-26/30","Cook Premium Kit 4 Eco Metalic/Pitanga",1,11,"Cook Premium Kit 4 Eco Metalic/Pitanga","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013268_26_30a.jpg,6013268_26_30b.jpg","6013268_26_30a.jpg,6013268_26_30b.jpg","","","","","","","",66762,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,34,26,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013269-1/1","Cook Premium Kit 5 Branco/Branco",1,68,"Cook Premium Kit 5 Branco/Branco","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013269_1_1a.jpg,6013269_1_1b.jpg","6013269_1_1a.jpg,6013269_1_1b.jpg","","","","","","","",38374,0,"",0,"","",0,0,"","","",0,0,"",True,False,110,5,34,26,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013269-1/27","Cook Premium Kit 5 Branco/Lavanda",1,68,"Cook Premium Kit 5 Branco/Lavanda","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013269_1_27a.jpg,6013269_1_27b.jpg","6013269_1_27a.jpg,6013269_1_27b.jpg","","","","","","","",66755,0,"",0,"","",0,0,"","","",0,0,"",True,False,110,5,34,26,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013269-1/28","Cook Premium Kit 5 Branco/IpÃª",1,68,"Cook Premium Kit 5 Branco/IpÃª","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013269_1_28a.jpg,6013269_1_28b.jpg","6013269_1_28a.jpg,6013269_1_28b.jpg","","","","","","","",66753,0,"",0,"","",0,0,"","","",0,0,"",True,False,110,5,34,26,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013269-1/29","Cook Premium Kit 5 Branco/Alecrim",1,68,"Cook Premium Kit 5 Branco/Alecrim","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013269_1_29a.jpg,6013269_1_29b.jpg","6013269_1_29a.jpg,6013269_1_29b.jpg","","","","","","","",66754,0,"",0,"","",0,0,"","","",0,0,"",True,False,110,5,34,26,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013269-1/30","Cook Premium Kit 5 Branco/Pitanga",1,68,"Cook Premium Kit 5 Branco/Pitanga","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013269_1_30a.jpg,6013269_1_30b.jpg","6013269_1_30a.jpg,6013269_1_30b.jpg","","","","","","","",66756,0,"",0,"","",0,0,"","","",0,0,"",True,False,110,5,34,26,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013269-2/2","Cook Premium Kit 5 Preto/Preto",1,68,"Cook Premium Kit 5 Preto/Preto","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013269_2_2a.jpg,6013269_2_2b.jpg","6013269_2_2a.jpg,6013269_2_2b.jpg","","","","","","","",38710,0,"",0,"","",0,0,"","","",0,0,"",True,False,110,5,34,26,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013269-25/1","Cook Premium Kit 5 Cobre/Branco",1,68,"Cook Premium Kit 5 Cobre/Branco","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013269_25_1a.jpg,6013269_25_1b.jpg","6013269_25_1a.jpg,6013269_25_1b.jpg","","","","","","","",66757,0,"",0,"","",0,0,"","","",0,0,"",True,False,110,5,34,26,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013269-25/2","Cook Premium Kit 5 Cobre/Preto",1,68,"Cook Premium Kit 5 Cobre/Preto","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013269_25_2a.jpg,6013269_25_2b.jpg","6013269_25_2a.jpg,6013269_25_2b.jpg","","","","","","","",66758,0,"",0,"","",0,0,"","","",0,0,"",True,False,110,5,34,26,5,"","A","","","","",""
