IDProduto,CodProd,Preco,PrecoProm,DataPromInicio,DataPromFim
5474337,1223-26,"34,9","26,5",24/03/2016 12:00,01/01/2049 00:00
2251590,1223,31,23,24/03/2016 12:00,01/01/2049 00:00
4024448,1223-1,31,23,24/03/2016 12:00,01/01/2049 00:00
4024449,1223-8,31,23,24/03/2016 12:00,01/01/2049 00:00
4024450,1224-1,33,29,24/03/2016 12:00,01/01/2049 00:00
4024451,1224-8,33,29,24/03/2016 12:00,01/01/2049 00:00
2251591,1224,33,29,24/03/2016 12:00,01/01/2049 00:00
5474340,1224-26,"39,5","33,4",24/03/2016 12:00,01/01/2049 00:00
5600093,6012277,"29,9",26,03/01/2017 00:00,01/01/2049 00:00
5685928,6012277-1,"29,9",26,03/01/2017 00:00,01/01/2049 00:00
5685929,6012277-2,"29,9",26,03/01/2017 00:00,01/01/2049 00:00
5685930,6012277-26,"34,39","29,9",03/01/2017 00:00,01/01/2049 00:00
5685922,6012275-1,"19,55",17,03/01/2017 00:00,01/01/2049 00:00
5685923,6012275-2,"19,55",17,03/01/2017 00:00,01/01/2049 00:00
5685924,6012275-26,"22,54","19,6",03/01/2017 00:00,01/01/2049 00:00
5600091,6012275,"19,55",17,03/01/2017 00:00,01/01/2049 00:00
5474335,1222-26,"19,9","17,3",24/03/2016 12:00,01/01/2049 00:00
2251592,1222,"17,9",15,24/03/2016 12:00,01/01/2049 00:00
4024452,1222-1,"17,9",15,24/03/2016 12:00,01/01/2049 00:00
4024453,1222-8,"17,9",15,24/03/2016 12:00,01/01/2049 00:00
4205405,COMBO1223,"69,9","34,9",24/03/2016 12:00,01/01/2049 00:00
4205757,COMBO1223-1,"69,9","34,9",24/03/2016 12:00,01/01/2049 00:00
4205758,COMBO1223-26,"79,5","51,7",24/03/2016 12:00,01/01/2049 00:00
5473903,COMBO1223-26,"59,9","51,7",24/03/2016 12:00,01/01/2049 00:00
4024606,1243-1,"16,3","12,04",08/03/2015 00:00,01/01/2049 00:00
4024607,1243-8,"16,3","12,04",08/03/2015 00:00,01/01/2049 00:00
2251618,1243,"16,3","12,04",08/03/2015 00:00,01/01/2049 00:00
2251619,1244,"19,9","15,36",08/03/2015 00:00,01/01/2049 00:00
4024608,1244-1,"19,9","15,36",08/03/2015 00:00,01/01/2049 00:00
4024609,1244-8,"19,9","15,36",08/03/2015 00:00,01/01/2049 00:00
4024610,1246-1,"22,3","16,46",08/03/2015 00:00,01/01/2049 00:00
4024611,1246-8,"22,3","16,46",08/03/2015 00:00,01/01/2049 00:00
2251621,1246,"22,3","16,46",08/03/2015 00:00,01/01/2049 00:00
3817766,COMBO1 ST,290,236,24/03/2016 12:00,01/01/2049 00:00
4024274,COMBO1 ST - 1,290,236,24/03/2016 12:00,01/01/2049 00:00
4024275,COMBO1 ST - 8,290,236,24/03/2015 12:00,01/01/2049 00:00
4070098,COMBO1 ST - 2,290,236,24/03/2016 12:00,01/01/2049 00:00
4298761,10110-2,34,24,07/04/2016 00:00,01/01/2049 00:00
4070099,COMBO10 ST - 2,394,319,24/03/2016 12:00,01/01/2049 00:00
5476259,COMBO10 ST - 26,"440,9","366,9",24/03/2016 12:00,01/01/2049 00:00
4024276,COMBO10 ST - 1,370,290,24/03/2016 12:00,01/01/2049 00:00
4024277,COMBO10 ST - 8,394,319,24/03/2016 12:00,01/01/2049 00:00
3817775,COMBO10 ST,370,290,24/03/2016 12:00,01/01/2049 00:00
3817776,COMBO11 ST,790,664,24/03/2016 12:00,01/01/2049 00:00
4024278,COMBO11 ST - 1,822,664,24/03/2016 12:00,01/01/2049 00:00
4024279,COMBO11 ST - 8,822,664,24/03/2016 12:00,01/01/2049 00:00
